!encryption-level(ascii_sort_key_1)	per-line-revision	checkout/merge-suggestion(ascii_sort_key_2)	tag-url(ascii_sort_key_3)
-1	1	/home/project/admdevel/bin	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/home-project-admdevel-bin-jyvns6biyv4ehy1vsqeiveejh.git
-1	1	/home/project/admdevel/lib/site_perl	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/home-project-admdevel-lib-site_perl-p7nl8vi9jrl15d8rjf7k6slrn.git
-1	1	/home/project/admdevel/scripts	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/home-project-admdevel-scripts-l75qmzimwuqwtu04suqgnivp6.git
-1	1	$PROJECTS/hproto	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/hproto-1pnnyslxuaisvwiqiu0urzwdk.git
-1	1	$PROJECTS/linux-script-templates	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/linux-script-templates-fxv0d9byi96e2ekbd396x2gty.git
-1	1	$PROJECTS/longest_run	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/longest_run-ghn3glmpt5ufyzr92amp82dyh.git
-1	1	$PROJECTS/make_automation	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/make_automation-897l48wgp8rlnma8ka5kwihf6.git
-1	1	$PROJECTS/mediatester	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/mediatester-1pc7146bit41pzw1wxglv52a8.git
-1	1	$PROJECTS/gbr-meta-commits	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/meta-commits-qhs03buett12xusmwmh94jghc.git
-1	1	$PROJECTS/modexp	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/modexp-2fg2id73y3ayyhu66ungjwu10.git
-1	1	$PROJECTS/r4g	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/r4g-e5u3dvgiysepdea4wb3f2bqf8.git
